,Pseudo Code,Java,Python
109,"Ternary number system or Base 3 numbers | Java program to convert decimal number to ternary number ; Function to convert a decimal number to a ternary number ; Base case ; Finding the remainder when N is divided by 3 ; Recursive function to call the function for the integer division of the value N \/ 3 ; Handling the negative cases ; Function to convert the decimal to ternary ; If the number is greater than 0 , compute the ternary representation of the number ; Driver Code","```java
public static String toTernary(int N) {
    if (N == 0) {
      return ""0"";
    }
    if (N < 0) {
      return ""-"" + toTernary(-N);
    }
    return toTernary(N / 3) + (N % 3);
  }
```","```python
def decimalToTernary(N):
  if N == 0:
    return ""0""
  if N < 0:
    return ""-"" + decimalToTernary(-N)
  result = """"
  while N > 0:
    result = str(N % 3) + result
    N //= 3
  return result
```"
110,"Largest number less than or equal to Z that leaves a remainder X when divided by Y | Java implementation to Find the largest non - negative number that is less than or equal to integer Z and leaves a remainder X when divided by Y ; Function to get the number ; remainder can ' t ▁ be ▁ larger ▁ ▁ than ▁ the ▁ largest ▁ number , ▁ ▁ if ▁ so ▁ then ▁ answer ▁ doesn ' t exist . ; reduce number by x ; finding the possible number that is divisible by y ; this number is always <= x as we calculated over z - x ; Driver Code ; initialise the three integers","```java
public static int findLargestNumber(int z, int x, int y) {
    if (x > z) {
      return -1;
    }
    return (z - x) / y * y + x;
  }
```","```python
def largest_number(z, x, y):
  if x >= y:
    return -1
  return z - x - ((z - x) % y)
```"
111,Find the conjugate of a Complex number | Java implementation to Find the conjugate of a complex number ; Function to find conjugate of a complex number ; store index of ' + ' ; store index of ' - ' ; print the result ; Driver code ; initialise the complex number,"```java
public static String findConjugate(String complexNumber) {
    int plusIndex = complexNumber.indexOf('+');
    int minusIndex = complexNumber.indexOf('-');
    if (plusIndex != -1) {
        return complexNumber.substring(0, plusIndex) + ""-"" + complexNumber.substring(plusIndex + 1);
    } else if (minusIndex != -1) {
        return complexNumber.substring(0, minusIndex) + ""+"" + complexNumber.substring(minusIndex + 1);
    } else {
        return complexNumber;
    }
}
```","```python
def conjugate(complex_num):
  plus_index = complex_num.find('+')
  minus_index = complex_num.find('-')
  if plus_index != -1:
    return complex_num[:plus_index] + complex_num[plus_index:].replace('+', '-')
  elif minus_index != -1:
    return complex_num[:minus_index] + complex_num[minus_index:].replace('-', '+')
  else:
    return complex_num
```"
112,Count of greater elements for each element in the Array | Java implementation of the above approach ; Store the frequency of the array elements ; Store the sum of frequency of elements greater than the current element ; Driver code,"```java
public static int[] countGreaterElements(int[] arr) {
    int n = arr.length;
    int[] frequency = new int[n];
    int[] result = new int[n];
    for (int i = 0; i < n; i++) {
      frequency[arr[i]]++;
    }
    for (int i = 0; i < n; i++) {
      for (int j = arr[i] + 1; j < n; j++) {
        result[i] += frequency[j];
      }
    }
    return result;
  }
```","```python
def count_greater_elements(arr):
  n = len(arr)
  freq = [0] * (n + 1)
  for i in range(n):
    freq[arr[i]] += 1
  result = [0] * n
  for i in range(n):
    sum_freq = 0
    for j in range(arr[i] + 1, n + 1):
      sum_freq += freq[j]
    result[i] = sum_freq
  return result
```"
113,"Minimum operations required to make two numbers equal | Java program to find minimum operations required to make two numbers equal ; Function to return the minimum operations required ; Keeping B always greater ; Reduce B such that gcd ( A , B ) becomes 1. ; Driver code","```java
public static int minOperations(int A, int B) {
    if (A > B) {
      int temp = A;
      A = B;
      B = temp;
    }
    while (gcd(A, B) != 1) {
      B -= A;
    }
    return B - A;
  }
  
  private static int gcd(int a, int b) {
    if (b == 0) {
      return a;
    }
    return gcd(b, a % b);
  }
```","```python
def minOperations(A, B):
  if A > B:
    A, B = B, A
  while A != 1:
    B = B % A
    if B == 0:
      return A - 1
    A, B = B, A
  return B - 1
```"
114,Program to determine the Quadrant of a Complex number | Java program to determine the quadrant of a complex number ; Function to determine the quadrant of a complex number ; Storing the index of ' + ' ; Storing the index of ' - ' ; Finding the real part of the complex number ; Finding the imaginary part of the complex number ; Driver code,"```java
public static int quadrant(String complexNumber) {
    int plusIndex = complexNumber.indexOf('+');
    int minusIndex = complexNumber.indexOf('-');
    int realPart = Integer.parseInt(complexNumber.substring(0, plusIndex));
    int imaginaryPart = Integer.parseInt(complexNumber.substring(plusIndex + 1, minusIndex));
    if (realPart > 0 && imaginaryPart > 0) {
        return 1;
    } else if (realPart < 0 && imaginaryPart > 0) {
        return 2;
    } else if (realPart < 0 && imaginaryPart < 0) {
        return 3;
    } else if (realPart > 0 && imaginaryPart < 0) {
        return 4;
    } else {
        return 0;
    }
}
```","```python
def quadrant(complex_number):
  plus_index = complex_number.find('+')
  minus_index = complex_number.find('-')
  real_part = int(complex_number[:plus_index or minus_index])
  imaginary_part = int(complex_number[plus_index + 1 or minus_index + 1:-1])
  if real_part > 0 and imaginary_part > 0:
    return 1
  elif real_part < 0 and imaginary_part > 0:
    return 2
  elif real_part < 0 and imaginary_part < 0:
    return 3
  elif real_part > 0 and imaginary_part < 0:
    return 4
  else:
    return 0
```"
115,Sum and Product of all Fibonacci Nodes of a Singly Linked List | Java implementation to find the sum and product of all of the Fibonacci nodes in a singly linked list ; Node of the singly linked list ; Function to insert a node at the beginning of the singly Linked List ; Allocate new node ; Insert the data ; Link the old list to the new node ; Move the head to point the new node ; Function that returns the largest element from the linked list . ; Declare a max variable and initialize with Integer . MIN_VALUE ; Check loop while head not equal to null ; If max is less then head . data then assign value of head . data to max otherwise node points to next node . ; Function to create a hash table to check Fibonacci numbers ; Inserting the first two numbers in the hash ; Loop to add Fibonacci numbers upto the maximum element present in the linked list ; Function to find the required sum and product ; Find the largest node value in Singly Linked List ; Creating a set containing all the fibonacci numbers upto the maximum data value in the Singly Linked List ; Traverse the linked list ; If current node is fibonacci ; Find the sum and the product ; Driver code ; Create the linked list 15.16 . 8.6 .13,"```java
public static int[] sumAndProductFibonacciNodes(Node head) {
  int max = Integer.MIN_VALUE;
  while (head != null) {
    if (max < head.data) {
      max = head.data;
    }
    head = head.next;
  }
  Set<Integer> fibonacciNumbers = createFibonacciSet(max);
  int sum = 0;
  int product = 1;
  head = head;
  while (head != null) {
    if (fibonacciNumbers.contains(head.data)) {
      sum += head.data;
      product *= head.data;
    }
    head = head.next;
  }
  return new int[]{sum, product};
}

private static Set<Integer> createFibonacciSet(int max) {
  Set<Integer> fibonacciNumbers = new HashSet<>();
  fibonacciNumbers.add(0);
  fibonacciNumbers.add(1);
  int a = 0;
  int b = 1;
  while (b <= max) {
    int c = a + b;
    fibonacciNumbers.add(c);
    a = b;
    b = c;
  }
  return fibonacciNumbers;
}
```","```python
def sum_and_product_of_fibonacci_nodes(head):
  max_value = float('-inf')
  curr = head
  while curr:
    if curr.data > max_value:
      max_value = curr.data
    curr = curr.next
  
  fibonacci_set = set()
  fibonacci_set.add(0)
  fibonacci_set.add(1)
  a = 0
  b = 1
  while b <= max_value:
    c = a + b
    fibonacci_set.add(c)
    a = b
    b = c
  
  sum = 0
  product = 1
  curr = head
  while curr:
    if curr.data in fibonacci_set:
      sum += curr.data
      product *= curr.data
    curr = curr.next
  return sum, product
```"
116,Product of all Subarrays of an Array | Java program to find product of all subarray of an array ; Function to find product of all subarrays ; Variable to store the product ; Compute the product while traversing for subarrays ; Printing product of all subarray ; Driver code ; Function call,"```java
public static long productOfSubarrays(int[] arr) {
    long product = 1;
    for (int i = 0; i < arr.length; i++) {
      for (int j = i; j < arr.length; j++) {
        for (int k = i; k <= j; k++) {
          product *= arr[k];
        }
      }
    }
    return product;
  }
```","```python
def product_of_subarrays(arr):
  product = 1
  for i in range(len(arr)):
    for j in range(i, len(arr)):
      for k in range(i, j + 1):
        product *= arr[k]
  return product
```"
117,"Check if a N base number is Even or Odd | Java code to check if a Octal number is Even or Odd ; To return value of a char . ; Function to convert a number from N base to decimal ; power of base ; Decimal equivalent is str [ len - 1 ] * 1 + str [ len - 1 ] * base + str [ len - 1 ] * ( base ^ 2 ) + ... ; A digit in input number must be less than number 's base ; Returns true if n is even , else odd ; Driver code","```java
public static boolean isEven(String str, int base) {
    int len = str.length();
    int decimal = 0;
    for (int i = 0; i < len; i++) {
      int digit = Character.getNumericValue(str.charAt(i));
      if (digit >= base) {
        return false;
      }
      decimal += digit * Math.pow(base, len - i - 1);
    }
    return decimal % 2 == 0;
  }
```","```python
def is_even_n_base(n, base):
  n = str(n)
  len = len(n)
  decimal = 0
  for i in range(len):
    decimal += int(n[i]) * (base ** (len - i - 1))
  return decimal % 2 == 0
```"
118,Find the next Factorial greater than N | Java implementation of the above approach ; Array that stores the factorial till 20 ; Function to pre - compute the factorial till 20 ; Precomputing factorials ; Function to return the next factorial number greater than N ; Traverse the factorial array ; Find the next just greater factorial than N ; Driver Code ; Function to precalculate the factorial till 20 ; Function call,"```java
public class NextFactorial {

    static long[] factorial = new long[21];

    public static void precomputeFactorial() {
        factorial[0] = 1;
        for (int i = 1; i <= 20; i++) {
            factorial[i] = factorial[i - 1] * i;
        }
    }

    public static long nextFactorial(long N) {
        for (int i = 0; i < factorial.length; i++) {
            if (factorial[i] > N) {
                return factorial[i];
            }
        }
        return -1;
    }

    public static void main(String[] args) {
        precomputeFactorial();
        long N = 10;
        long nextFact = nextFactorial(N);
        System.out.println(""Next Factorial greater than "" + N + "" is: "" + nextFact);
    }
}
```","```python
def next_factorial(n):
  factorials = [1]
  for i in range(1, 21):
    factorials.append(factorials[i - 1] * i)
  for i in range(len(factorials)):
    if factorials[i] > n:
      return factorials[i]
```"
119,Find K distinct positive odd integers with sum N | Java implementation to find K odd positive integers such that their sum is equal to given number ; Function to find K odd positive integers such that their sum is N ; Condition to check if there are enough values to check ; Driver Code,"```java
public static boolean findKDistinctOddIntegers(int N, int K) {
    if (N < K || (N - K) % 2 != 0 || N <= 0 || K <= 0) {
        return false;
    }
    int[] result = new int[K];
    int currentSum = 0;
    for (int i = 0; i < K; i++) {
        result[i] = 1 + 2 * i;
        currentSum += result[i];
    }
    int remainingSum = N - currentSum;
    for (int i = 0; i < K && remainingSum > 0; i++) {
        int increment = Math.min(remainingSum, 2);
        result[i] += increment;
        remainingSum -= increment;
    }
    return remainingSum == 0;
}
```","```python
def find_k_odd_integers(N, K):
  if K <= 0 or N <= 0 or N % 2 != K % 2 or N < K:
    return []
  result = []
  for i in range(K):
    result.append(2 * i + 1)
  result[K - 1] = N - sum(result[:-1])
  return result
```"
120,Minimum number of operations to convert array A to array B by adding an integer into a subarray | Java implementation to find the minimum number of operations in which the array A can be converted to another array B ; Function to find the minimum number of operations in which array A can be converted to array B ; Loop to iterate over the array ; if both elements are equal then move to next element ; Calculate the difference between two elements ; loop while the next pair of elements have same difference ; Increase the number of operations by 1 ; Print the number of operations required ; Driver Code,"```java
public static int minOperations(int[] A, int[] B) {
    int operations = 0;
    for (int i = 0; i < A.length; i++) {
      if (A[i] == B[i]) {
        continue;
      }
      int diff = B[i] - A[i];
      int j = i + 1;
      while (j < A.length && B[j] - A[j] == diff) {
        j++;
      }
      operations++;
      i = j - 1;
    }
    return operations;
  }
```","```python
def minOperations(A, B):
  n = len(A)
  operations = 0
  i = 0
  while i < n:
    if A[i] == B[i]:
      i += 1
      continue
    diff = B[i] - A[i]
    j = i + 1
    while j < n and B[j] - A[j] == diff:
      j += 1
    operations += 1
    i = j
  return operations
```"
121,"Perfect Cube | Java program to check if a number is a perfect cube using prime factors ; Inserts the prime factor in the Hash Map if not present If present updates it 's frequency ; A utility function to find all prime factors of a given number N ; Insert the number of 2 s that divide n ; n must be odd at this point . So we can skip one element ; While i divides n , insert i and divide n ; This condition is to handle the case when n is a prime number greater than 2 ; Function to check if a number is a perfect cube ; Using values ( ) for iteration over keys ; Driver Code ; Function to check if N is perfect cube or not","```java
import java.util.*;
class Solution {
    public boolean isPerfectCube(int N) {
        if (N == 0) {
            return true;
        }
        if (N < 0) {
            N = -N;
        }
        HashMap<Integer, Integer> primeFactors = new HashMap<>();
        primeFactors = primeFactors(N);
        for (Integer key : primeFactors.values()) {
            if (key % 3 != 0) {
                return false;
            }
        }
        return true;
    }
    public HashMap<Integer, Integer> primeFactors(int n) {
        HashMap<Integer, Integer> primeFactors = new HashMap<>();
        if (n % 2 == 0) {
            primeFactors.put(2, 0);
            while (n % 2 == 0) {
                primeFactors.put(2, primeFactors.get(2) + 1);
                n /= 2;
            }
        }
        for (int i = 3; i * i <= n; i += 2) {
            if (n % i == 0) {
                primeFactors.put(i, 0);
                while (n % i == 0) {
                    primeFactors.put(i, primeFactors.get(i) + 1);
                    n /= i;
                }
            }
        }
        if (n > 2) {
            primeFactors.put(n, 1);
        }
        return primeFactors;
    }
    public static void main(String[] args) {
        Solution ob = new Solution();
        int N = 27;
        if (ob.isPerfectCube(N)) {
            System.out.println(N + "" is a perfect cube"");
        } else {
            System.out.println(N + "" is not a perfect cube"");
        }
    }
}
```","```python
def isPerfectCube(n):
  primeFactors = {}
  def primeFactorsOfNumber(n):
    if n % 2 == 0:
      primeFactors[2] = primeFactors.get(2, 0) + 1
      n //= 2
    i = 3
    while i * i <= n:
      if n % i == 0:
        primeFactors[i] = primeFactors.get(i, 0) + 1
        n //= i
      else:
        i += 2
    if n > 2:
      primeFactors[n] = primeFactors.get(n, 0) + 1
  primeFactorsOfNumber(n)
  for key in primeFactors.keys():
    if primeFactors[key] % 3 != 0:
      return False
  return True

n = int(input())
if isPerfectCube(n):
  print(""Yes"")
else:
  print(""No"")
```"
122,Count ways to reach the Nth stair using multiple 1 or 2 steps and a single step 3 | Java implementation to find the number the number of ways to reach Nth stair by taking 1 or 2 steps at a time and 3 rd step exactly once ; Single line to find factorial ; Function to find the number of ways ; Base Case ; Count of 2 - steps ; Count of 1 - steps ; Initial length of sequence ; Expected count of 2 - steps ; Loop to find the ways for every possible sequence ; Driver Code,"```java
public static int countWays(int n) {
    if (n < 0) {
        return 0;
    }
    if (n == 0) {
        return 1;
    }
    int count = 0;
    for (int i = 0; i <= n / 2; i++) {
        int twoSteps = i;
        int oneSteps = n - 2 * i - 1;
        if (oneSteps >= 0) {
            count += factorial(n - i) / (factorial(i) * factorial(oneSteps));
        }
    }
    return count;
}

public static int factorial(int n) {
    if (n == 0) {
        return 1;
    }
    return n * factorial(n - 1);
}
```","```python
def countWays(n):
  if n == 0:
    return 1
  elif n < 0:
    return 0
  else:
    count_2_steps = 0
    count_1_steps = 0
    for i in range(n//2 + 1):
      count_2_steps = count_2_steps + countWays(n - (2*i + 1))
    for i in range(n//3 + 1):
      count_1_steps = count_1_steps + countWays(n - (3 + i))
    return count_2_steps + count_1_steps
```"
123,Find N from the value of N ! | Java program to find a number such that the factorial of that number is given ; Map to precompute and store the factorials of the numbers ; Function to precompute factorial ; Calculating the factorial for each i and storing in a map ; Driver code ; Precomputing the factorials,"```java
import java.util.HashMap;
import java.util.Map;

public class FactorialFinder {

    public static int findN(long factorial) {
        Map<Integer, Long> factorialMap = precomputeFactorials(20);
        for (Map.Entry<Integer, Long> entry : factorialMap.entrySet()) {
            if (entry.getValue() == factorial) {
                return entry.getKey();
            }
        }
        return -1; 
    }

    private static Map<Integer, Long> precomputeFactorials(int n) {
        Map<Integer, Long> factorialMap = new HashMap<>();
        factorialMap.put(0, 1L);
        for (int i = 1; i <= n; i++) {
            factorialMap.put(i, factorialMap.get(i - 1) * i);
        }
        return factorialMap;
    }
}
```","```python
def find_n_from_factorial(factorial):
  factorials = {0: 1}
  i = 1
  while factorials[i - 1] < factorial:
    factorials[i] = factorials[i - 1] * i
    i += 1
  if factorials[i - 1] == factorial:
    return i - 1
  else:
    return -1 
```"
124,"Count of Leap Years in a given year range | Java implementation to find the count of leap years in given range of the year ; Function to calculate the number of leap years in range of ( 1 , year ) ; Function to calculate the number of leap years in given range ; Driver Code","```java
public static int countLeapYears(int year) {
    int count = 0;
    for (int i = 1; i <= year; i++) {
        if ((i % 4 == 0 && i % 100 != 0) || i % 400 == 0) {
            count++;
        }
    }
    return count;
}

public static int countLeapYearsInRange(int startYear, int endYear) {
    return countLeapYears(endYear) - countLeapYears(startYear - 1);
}

public static void main(String[] args) {
    int startYear = 1900;
    int endYear = 2023;
    int count = countLeapYearsInRange(startYear, endYear);
    System.out.println(""Number of leap years between "" + startYear + "" and "" + endYear + "": "" + count);
}
```","```python
def countLeapYears(year):
  return year // 4 - year // 100 + year // 400

def countLeapYearsInRange(startYear, endYear):
  return countLeapYears(endYear) - countLeapYears(startYear - 1)
```"
125,Ternary representation of Cantor set | Java implementation to find the cantor set for n levels and for a given start_num and end_num ; The Linked List Structure for the Cantor Set ; Function to initialize the Cantor Set List ; Function to propogate the list by adding new nodes for the next levels ; Modifying the start and end values for the next level ; Changing the pointers to the next node ; Recursively call the function to generate the Cantor Set for the entire level ; Function to print a level of the Set ; Function to build and display the Cantor Set for each level ; Driver code,"```java
import java.util.*;
class Node {
    int start;
    int end;
    Node next;
    Node(int start, int end) {
        this.start = start;
        this.end = end;
        this.next = null;
    }
}
class CantorSet {
    Node head;
    public CantorSet(int start_num, int end_num) {
        this.head = new Node(start_num, end_num);
    }
    public void propogate(int level) {
        if (level == 0) {
            return;
        }
        Node current = head;
        Node prev = null;
        while (current != null) {
            int mid = (current.start + current.end) / 3;
            Node newNode1 = new Node(current.start, mid);
            Node newNode2 = new Node(mid + (current.end - mid) / 3, current.end);
            if (prev != null) {
                prev.next = newNode1;
            }
            newNode1.next = newNode2;
            newNode2.next = current.next;
            prev = newNode2;
            current = current.next;
        }
        propogate(level - 1);
    }
    public void printLevel(int level) {
        Node current = head;
        for (int i = 0; i < level; i++) {
            current = current.next;
        }
        while (current != null) {
            System.out.print(""("" + current.start + "", "" + current.end + "") "");
            current = current.next;
        }
        System.out.println();
    }
    public void buildAndDisplay(int levels) {
        propogate(levels);
        for (int i = 0; i <= levels; i++) {
            System.out.print(""Level "" + i + "": "");
            printLevel(i);
        }
    }
}
public class CantorSetMain {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        System.out.print(""Enter start number: "");
        int start_num = sc.nextInt();
        System.out.print(""Enter end number: "");
        int end_num = sc.nextInt();
        System.out.print(""Enter number of levels: "");
        int levels = sc.nextInt();
        CantorSet cantorSet = new CantorSet(start_num, end_num);
        cantorSet.buildAndDisplay(levels);
    }
}
```","```python
class Node:
    def __init__(self, start, end):
        self.start = start
        self.end = end
        self.next = None

def initialize_cantor_set(start_num, end_num):
    head = Node(start_num, end_num)
    return head

def propagate_list(head, level):
    if level == 0:
        return
    current = head
    while current:
        new_node = Node(current.start + (current.end - current.start) / 3, current.start + 2 * (current.end - current.start) / 3)
        new_node.next = current.next
        current.next = new_node
        current = new_node.next
        current = current.next
    propagate_list(head, level - 1)

def modify_start_end(head, level):
    if level == 0:
        return
    current = head
    while current:
        current.start = current.start + (current.end - current.start) / 3
        current.end = current.end - (current.end - current.start) / 3
        current = current.next
    modify_start_end(head, level - 1)

def print_level(head):
    current = head
    while current:
        print(f""[{current.start:.2f}, {current.end:.2f}]"", end=' ')
        current = current.next
    print()

def build_and_display_cantor_set(start_num, end_num, levels):
    head = initialize_cantor_set(start_num, end_num)
    for i in range(levels):
        print(f""Level {i+1}:"", end=' ')
        print_level(head)
        propagate_list(head, i + 1)
        modify_start_end(head, i + 1)

def main():
    start_num = 0
    end_num = 1
    levels = 4
    build_and_display_cantor_set(start_num, end_num, levels)

if __name__ == ""__main__"":
    main()
```"
126,Find sum of f ( s ) for all the chosen sets from the given array | Java implementation of the approach ; To store the factorial and the factorial mod inverse of a number ; Function to find ( a ^ m1 ) % mod ; Function to find factorial of all the numbers ; Function to find the factorial mod inverse of all the numbers ; Function to return nCr ; Function to find sum of f ( s ) for all the chosen sets from the given array ; Sort the given array ; Calculate the factorial and modinverse of all elements ; For all the possible sets Calculate max ( S ) and min ( S ) ; Driver code,"```java
import java.util.*;
public class Solution {
    static final int MOD = 1000000007;
    static long[] fact, ifact;
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int n = sc.nextInt();
        int[] a = new int[n];
        for (int i = 0; i < n; i++) {
            a[i] = sc.nextInt();
        }
        Arrays.sort(a);
        fact = new long[n + 1];
        ifact = new long[n + 1];
        precomputeFactorial(n);
        long ans = 0;
        for (int i = 0; i < (1 << n); i++) {
            int max = 0, min = Integer.MAX_VALUE;
            for (int j = 0; j < n; j++) {
                if ((i & (1 << j)) != 0) {
                    max = Math.max(max, a[j]);
                    min = Math.min(min, a[j]);
                }
            }
            ans = (ans + f(max, min)) % MOD;
        }
        System.out.println(ans);
    }
    static long f(int max, int min) {
        return modPow(max, min, MOD);
    }
    static void precomputeFactorial(int n) {
        fact[0] = 1;
        for (int i = 1; i <= n; i++) {
            fact[i] = (fact[i - 1] * i) % MOD;
        }
        ifact[n] = modInverse(fact[n], MOD);
        for (int i = n - 1; i >= 0; i--) {
            ifact[i] = (ifact[i + 1] * (i + 1)) % MOD;
        }
    }
    static long modInverse(long a, long m) {
        return modPow(a, m - 2, m);
    }
    static long modPow(long a, long m, long mod) {
        long res = 1;
        while (m > 0) {
            if ((m & 1) == 1) {
                res = (res * a) % mod;
            }
            a = (a * a) % mod;
            m >>= 1;
        }
        return res;
    }
    static long nCr(int n, int r) {
        if (r < 0 || r > n) {
            return 0;
        }
        return (fact[n] * ifact[r] % MOD * ifact[n - r] % MOD) % MOD;
    }
}
```","```python
def find_sum_of_f_s(arr, mod):
  n = len(arr)
  arr.sort()
  fact = [1] * (n + 1)
  inv_fact = [1] * (n + 1)
  for i in range(1, n + 1):
    fact[i] = (fact[i - 1] * i) % mod
    inv_fact[i] = pow(fact[i], mod - 2, mod)
  sum = 0
  for i in range(1 << n):
    max_s = -1
    min_s = 10**9
    for j in range(n):
      if (i >> j) & 1:
        max_s = max(max_s, arr[j])
        min_s = min(min_s, arr[j])
    if max_s != -1 and min_s != 10**9:
      sum = (sum + (fact[n] * inv_fact[max_s - min_s + 1] * inv_fact[n - (max_s - min_s + 1)]) % mod) % mod
  return sum
```"
127,Length of Smallest subarray in range 1 to N with sum greater than a given value | Java implementation of the above implementation ; Function to return the count of minimum elements such that the sum of those elements is > S . ; Initialize currentSum = 0 ; Loop from N to 1 to add the numbers and check the condition . ; Driver code,"```java
public static int minSubArrayLen(int S, int[] nums) {
    int minLen = Integer.MAX_VALUE;
    int currentSum = 0;
    int j = 0;
    for (int i = 0; i < nums.length; i++) {
        currentSum += nums[i];
        while (currentSum >= S) {
            minLen = Math.min(minLen, i - j + 1);
            currentSum -= nums[j];
            j++;
        }
    }
    return minLen == Integer.MAX_VALUE ? 0 : minLen;
}
```","```python
def minSubArrayLen(s, nums):
  n = len(nums)
  minLen = float('inf')
  currentSum = 0
  start = 0
  for end in range(n):
    currentSum += nums[end]
    while currentSum >= s:
      minLen = min(minLen, end - start + 1)
      currentSum -= nums[start]
      start += 1
  return minLen if minLen != float('inf') else 0
```"
128,Next Number with distinct digits | Java program to find next consecutive Number with all distinct digits ; Function to count distinct digits in a number ; To count the occurrence of digits in number from 0 to 9 ; Iterate over the digits of the number Flag those digits as found in the array ; Traverse the array arr and count the distinct digits in the array ; Function to return the total number of digits in the number ; Iterate over the digits of the number ; Function to return the next number with distinct digits ; Count the distinct digits in N + 1 ; Count the total number of digits in N + 1 ; Return the next consecutive number ; Increment Number by 1 ; Driver code,"```java
public static int nextDistinctDigitsNumber(int N) {
    int next = N + 1;
    while (true) {
        if (countDistinctDigits(next) == countDigits(next)) {
            return next;
        }
        next++;
    }
}

private static int countDistinctDigits(int num) {
    int[] arr = new int[10];
    while (num > 0) {
        arr[num % 10]++;
        num /= 10;
    }
    int count = 0;
    for (int i = 0; i < 10; i++) {
        if (arr[i] > 0) {
            count++;
        }
    }
    return count;
}

private static int countDigits(int num) {
    int count = 0;
    while (num > 0) {
        count++;
        num /= 10;
    }
    return count;
}
```","```python
def next_number_with_distinct_digits(N):
    def count_distinct_digits(num):
        arr = [0] * 10
        while num > 0:
            digit = num % 10
            arr[digit] += 1
            num //= 10
        distinct_count = 0
        for i in range(10):
            if arr[i] > 0:
                distinct_count += 1
        return distinct_count

    def count_total_digits(num):
        count = 0
        while num > 0:
            count += 1
            num //= 10
        return count

    N += 1
    while True:
        distinct_digits = count_distinct_digits(N)
        total_digits = count_total_digits(N)
        if distinct_digits == total_digits:
            return N
        N += 1
```"
129,Minimum possible sum of array B such that AiBi = AjBj for all 1 â ‰¤ i < j â ‰¤ N | Java implementation of the approach ; To store least prime factors of all the numbers ; Function to find the least prime factor of all the numbers ; Function to return the ( ( a ^ m1 ) % mod ) ; Function to return the sum of elements of array B ; Find the prime factors of all the numbers ; To store each prime count in lcm ; Current number ; Map to store the prime count of a single number ; Basic way to calculate all prime factors ; If it is the first number in the array ; Take the maximum count of prime in a number ; Calculate lcm of given array ; Calculate sum of elements of array B ; Driver code,"```java
import java.util.*;
public class Solution {
    static int[] spf;
    public static void sieve(int n) {
        spf = new int[n + 1];
        for (int i = 2; i * i <= n; i++) {
            if (spf[i] == 0) {
                for (int j = i * i; j <= n; j += i) {
                    if (spf[j] == 0) {
                        spf[j] = i;
                    }
                }
            }
        }
        for (int i = 2; i <= n; i++) {
            if (spf[i] == 0) {
                spf[i] = i;
            }
        }
    }
    public static int getSmallestPrimeFactor(int x) {
        return spf[x];
    }
    public static int power(int a, int m1, int mod) {
        int res = 1;
        while (m1 > 0) {
            if ((m1 & 1) == 1) {
                res = (res * a) % mod;
            }
            a = (a * a) % mod;
            m1 >>= 1;
        }
        return res;
    }
    public static int sumArray(int[] b) {
        int sum = 0;
        for (int i = 0; i < b.length; i++) {
            sum += b[i];
        }
        return sum;
    }
    public static int findMinSum(int[] a) {
        int n = a.length;
        sieve(1000000);
        int lcm = 1;
        Map<Integer, Integer> primeCount = new HashMap<>();
        for (int i = 0; i < n; i++) {
            int currNum = a[i];
            while (currNum > 1) {
                int prime = getSmallestPrimeFactor(currNum);
                if (i == 0) {
                    primeCount.put(prime, 1);
                } else {
                    if (primeCount.containsKey(prime)) {
                        primeCount.put(prime, Math.max(primeCount.get(prime), 1));
                    } else {
                        primeCount.put(prime, 1);
                    }
                }
                currNum /= prime;
            }
        }
        for (Map.Entry<Integer, Integer> entry : primeCount.entrySet()) {
            lcm = (lcm * power(entry.getKey(), entry.getValue(), 1000000007)) % 1000000007;
        }
        int[] b = new int[n];
        for (int i = 0; i < n; i++) {
            b[i] = lcm / a[i];
        }
        return sumArray(b);
    }
    public static void main(String[] args) {
        int[] a = {2, 4, 6};
        System.out.println(findMinSum(a));
    }
}
```","```python
def minSum(arr, n):
  def leastPrimeFactor(n):
    prime = [True] * (n + 1)
    p = 2
    while p * p <= n:
      if prime[p]:
        for i in range(p * p, n + 1, p):
          prime[i] = False
      p += 1
    return prime

  def power(a, m1, mod):
    res = 1
    a %= mod
    while m1 > 0:
      if m1 & 1:
        res = (res * a) % mod
      a = (a * a) % mod
      m1 >>= 1
    return res

  def sumOfArray(arr, n):
    sum = 0
    for i in range(n):
      sum += arr[i]
    return sum

  prime = leastPrimeFactor(1000000)
  lcm = [0] * (1000000 + 1)
  for i in range(n):
    current = arr[i]
    count = {}
    while current > 1:
      p = prime[current]
      if p in count:
        count[p] += 1
      else:
        count[p] = 1
      current //= p
    if i == 0:
      for p in count:
        lcm[p] = count[p]
    else:
      for p in count:
        lcm[p] = max(lcm[p], count[p])
  b = [0] * (1000000 + 1)
  for p in range(1, 1000000 + 1):
    if lcm[p] > 0:
      b[p] = power(p, lcm[p], 1000000007)
  return sumOfArray(b, 1000000 + 1)
```"
